Institution,Institution Type,County,Fiscal Year,Date,Corrections Population,Address + Lat/Long
Greene (GRN),State Correctional Institution,Greene,FY 2015-2016,02/29/2016,1749,"169 Progress Drive
Waynesburg, PA 15370
(39.904711, -80.13849)"
Fayette (FYT),State Correctional Institution,Fayette,FY 2016-2017,10/31/2016,2026,"50 Overlook Drive
LaBelle, PA 15450
(40.000859, -79.988322)"
Community Corrections Center - Central,Community Corrections Center,N/A,FY 2016-2017,04/30/2017,71,"N/A
N/A, N/A N/A"
Fayette (FYT),State Correctional Institution,Fayette,FY 2015-2016,11/30/2015,2035,"50 Overlook Drive
LaBelle, PA 15450
(40.000859, -79.988322)"
Community Contract Facility - Eastern,Community Contract Facility,N/A,FY 2017-2018,09/30/2017,216,"N/A
N/A, N/A N/A"
Camp Hill (CAM),State Correctional Institution,Cumberland,FY 2017-2018,01/31/2018,3563,"P.O. Box 8837, 2500 Lisburn Road
Camp Hill, PA 17001
(40.217356, -76.925883)"
Mercer (MER),State Correctional Institution,Mercer,FY 2018-2019,09/30/2018,1500,"801 Butler Pike
Mercer, PA 16137
(41.201825, -80.224013)"
Muncy (MUN),State Correctional Institution,Lycoming,FY 2017-2018,01/31/2018,1411,"Box 180 Route 405
Muncy, PA 17756
(41.20239, -76.824645)"
Community Contract Facility - Eastern,Community Contract Facility,N/A,FY 2016-2017,06/30/2017,289,"N/A
N/A, N/A N/A"
Rockview (ROC),State Correctional Institution,Centre,FY 2018-2019,10/31/2018,2379,"1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
Coal Township (COA),State Correctional Institution,Northumberland,FY 2017-2018,08/31/2017,2297,"1 Kelley Drive
Coal Township, PA 17866
(40.805948, -76.552047)"
Fayette (FYT),State Correctional Institution,Fayette,FY 2017-2018,10/31/2017,2171,"50 Overlook Drive
LaBelle, PA 15450
(40.000859, -79.988322)"
Rockview (ROC),State Correctional Institution,Centre,FY 2015-2016,10/31/2015,2366,"1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
Coal Township (COA),State Correctional Institution,Northumberland,FY 2017-2018,10/31/2017,2312,"1 Kelley Drive
Coal Township, PA 17866
(40.805948, -76.552047)"
Rockview (ROC),State Correctional Institution,Centre,FY 2016-2017,02/28/2017,2378,"1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
Pittsburgh (PIT),State Correctional Institution,Allegheny,FY 2016-2017,01/31/2017,1880,"3001 Beaver Avenue
Pittsburgh, PA 15233
(40.470253, -80.040614)"
Community Contract Facility - Western,Community Contract Facility,N/A,FY 2016-2017,03/31/2017,261,"N/A
N/A, N/A N/A"
Graterford (GRA),State Correctional Institution,Montgomery,FY 2015-2016,08/31/2015,3248,"P.O. Box 246, Route 29
Graterford, PA 19426
(40.233117, -75.431678)"
Laurel Highlands (LAU),State Correctional Institution,Somerset,FY 2015-2016,06/30/2016,1607,"5706 Glades Pike
Somerset, PA 15501
(40.003555, -79.042639)"
Pine Grove (PNG),State Correctional Institution,Indiana,FY 2016-2017,04/30/2017,1069,"189 Fyock Road
Indiana, PA 15701
(40.647782, -79.102858)"
Pine Grove (PNG),State Correctional Institution,Indiana,FY 2017-2018,03/31/2018,1097,"189 Fyock Road
Indiana, PA 15701
(40.647782, -79.102858)"
Pine Grove (PNG),State Correctional Institution,Indiana,FY 2016-2017,10/31/2016,931,"189 Fyock Road
Indiana, PA 15701
(40.647782, -79.102858)"
Mahanoy (MAH),State Correctional Institution,Schuylkill,FY 2018-2019,12/31/2018,2358,"301 Morea Road
Frackville, PA 17932
(40.792482, -76.180808)"
Houtzdale (HOU),State Correctional Institution,Clearfield,FY 2016-2017,03/31/2017,2483,"209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
Community Contract Facility - Eastern,Community Contract Facility,N/A,FY 2017-2018,02/28/2018,98,"N/A
N/A, N/A N/A"
Fayette (FYT),State Correctional Institution,Fayette,FY 2017-2018,09/30/2017,2159,"50 Overlook Drive
LaBelle, PA 15450
(40.000859, -79.988322)"
Smithfield (SMI),State Correctional Institution,Huntingdon,FY 2014-2015,06/30/2015,1351,"1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
In Federal Prisons,Federal Prisons,N/A,FY 2017-2018,07/31/2017,8,"N/A
N/A, N/A N/A"
Coal Township (COA),State Correctional Institution,Northumberland,FY 2017-2018,06/30/2018,2309,"1 Kelley Drive
Coal Township, PA 17866
(40.805948, -76.552047)"
Cambridge Springs (CBS),State Correctional Institution,Crawford,FY 2017-2018,02/28/2018,1222,"451 Fullerton Avenue
Cambridge Springs, PA 16403
(41.798439, -80.056353)"
Laurel Highlands (LAU),State Correctional Institution,Somerset,FY 2017-2018,01/31/2018,1590,"5706 Glades Pike
Somerset, PA 15501
(40.003555, -79.042639)"
Albion (ALB),State Correctional Institution,Erie,FY 2016-2017,09/30/2016,2262,"10745 Route 18
Albion, PA 16475
(41.877428, -80.362796)"
Mahanoy (MAH),State Correctional Institution,Schuylkill,FY 2018-2019,07/31/2018,2363,"301 Morea Road
Frackville, PA 17932
(40.792482, -76.180808)"
Smithfield (SMI),State Correctional Institution,Huntingdon,FY 2015-2016,01/31/2016,1322,"1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
Graterford (GRA),State Correctional Institution,Montgomery,FY 2017-2018,02/28/2018,2588,"P.O. Box 246, Route 29
Graterford, PA 19426
(40.233117, -75.431678)"
Camp Hill (CAM),State Correctional Institution,Cumberland,FY 2015-2016,06/30/2016,3270,"P.O. Box 8837, 2500 Lisburn Road
Camp Hill, PA 17001
(40.217356, -76.925883)"
Somerset (SMR),State Correctional Institution,Somerset,FY 2018-2019,11/30/2018,2395,"1590 Walters Mill Road
Somerset, PA 15510
(39.962928, -79.036824)"
Somerset (SMR),State Correctional Institution,Somerset,FY 2018-2019,09/30/2018,2376,"1590 Walters Mill Road
Somerset, PA 15510
(39.962928, -79.036824)"
In Federal Prisons,Federal Prisons,N/A,FY 2017-2018,06/30/2018,8,"N/A
N/A, N/A N/A"
Waymart (WAM),State Correctional Institution,Wayne,FY 2014-2015,06/30/2015,1356,"P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
Chester (CHS),State Correctional Institution,Delaware,FY 2015-2016,08/31/2015,1290,"500 E. 4th Street
Chester, PA 19013
(39.851157, -75.35134)"
Somerset (SMR),State Correctional Institution,Somerset,FY 2016-2017,03/31/2017,2326,"1590 Walters Mill Road
Somerset, PA 15510
(39.962928, -79.036824)"
Community Contract Facility - Western,Community Contract Facility,N/A,FY 2016-2017,09/30/2016,228,"N/A
N/A, N/A N/A"
Albion (ALB),State Correctional Institution,Erie,FY 2015-2016,06/30/2016,2244,"10745 Route 18
Albion, PA 16475
(41.877428, -80.362796)"
Smithfield (SMI),State Correctional Institution,Huntingdon,FY 2016-2017,11/30/2016,1338,"1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
Pine Grove (PNG),State Correctional Institution,Indiana,FY 2015-2016,01/31/2016,923,"189 Fyock Road
Indiana, PA 15701
(40.647782, -79.102858)"
Frackville (FRA),State Correctional Institution,Schuylkill,FY 2017-2018,10/31/2017,1215,"1111 Altamont Boulevard
Frackville, PA 17931
(40.771734, -76.209068)"
Greene (GRN),State Correctional Institution,Greene,FY 2017-2018,03/31/2018,1843,"169 Progress Drive
Waynesburg, PA 15370
(39.904711, -80.13849)"
Benner Township (BEN),State Correctional Institution,Centre,FY 2015-2016,04/30/2016,2062,"Rockview Road
Benner, PA 16823
(40.85929, -77.778322)"
Pittsburgh (PIT),State Correctional Institution,Allegheny,FY 2015-2016,08/31/2015,1722,"3001 Beaver Avenue
Pittsburgh, PA 15233
(40.470253, -80.040614)"
Cambridge Springs (CBS),State Correctional Institution,Crawford,FY 2016-2017,06/30/2017,1183,"451 Fullerton Avenue
Cambridge Springs, PA 16403
(41.798439, -80.056353)"
Frackville (FRA),State Correctional Institution,Schuylkill,FY 2017-2018,11/30/2017,1229,"1111 Altamont Boulevard
Frackville, PA 17931
(40.771734, -76.209068)"
Cambridge Springs (CBS),State Correctional Institution,Crawford,FY 2018-2019,08/31/2018,1238,"451 Fullerton Avenue
Cambridge Springs, PA 16403
(41.798439, -80.056353)"
Mercer (MER),State Correctional Institution,Mercer,FY 2018-2019,07/31/2018,1460,"801 Butler Pike
Mercer, PA 16137
(41.201825, -80.224013)"
Cambridge Springs (CBS),State Correctional Institution,Crawford,FY 2017-2018,05/31/2018,1226,"451 Fullerton Avenue
Cambridge Springs, PA 16403
(41.798439, -80.056353)"
Community Contract Facility - Western,Community Contract Facility,N/A,FY 2017-2018,08/31/2017,208,"N/A
N/A, N/A N/A"
Community Corrections Center - Eastern,Community Corrections Center,N/A,FY 2015-2016,12/31/2015,129,"N/A
N/A, N/A N/A"
Somerset (SMR),State Correctional Institution,Somerset,FY 2015-2016,09/30/2015,2372,"1590 Walters Mill Road
Somerset, PA 15510
(39.962928, -79.036824)"
In Federal Prisons,Federal Prisons,N/A,FY 2016-2017,10/31/2016,8,"N/A
N/A, N/A N/A"
Community Contract Facility - Western,Community Contract Facility,N/A,FY 2015-2016,03/31/2016,236,"N/A
N/A, N/A N/A"
Chester (CHS),State Correctional Institution,Delaware,FY 2018-2019,10/31/2018,1277,"500 E. 4th Street
Chester, PA 19013
(39.851157, -75.35134)"
Cambridge Springs (CBS),State Correctional Institution,Crawford,FY 2016-2017,07/31/2016,1197,"451 Fullerton Avenue
Cambridge Springs, PA 16403
(41.798439, -80.056353)"
Community Corrections Center - Central,Community Corrections Center,N/A,FY 2017-2018,04/30/2018,235,"N/A
N/A, N/A N/A"
Coal Township (COA),State Correctional Institution,Northumberland,FY 2018-2019,08/31/2018,2321,"1 Kelley Drive
Coal Township, PA 17866
(40.805948, -76.552047)"
Community Contract Facility - Eastern,Community Contract Facility,N/A,FY 2016-2017,01/31/2017,350,"N/A
N/A, N/A N/A"
Community Corrections Center - Western,Community Corrections Center,N/A,FY 2015-2016,12/31/2015,148,"N/A
N/A, N/A N/A"
Mahanoy (MAH),State Correctional Institution,Schuylkill,FY 2017-2018,08/31/2017,2404,"301 Morea Road
Frackville, PA 17932
(40.792482, -76.180808)"
Community Contract Facility - Central,Community Contract Facility,N/A,FY 2017-2018,05/31/2018,117,"N/A
N/A, N/A N/A"
Houtzdale (HOU),State Correctional Institution,Clearfield,FY 2017-2018,07/31/2017,2495,"209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
Community Contract Facility - Western,Community Contract Facility,N/A,FY 2016-2017,04/30/2017,247,"N/A
N/A, N/A N/A"
Cambridge Springs (CBS),State Correctional Institution,Crawford,FY 2015-2016,05/31/2016,1203,"451 Fullerton Avenue
Cambridge Springs, PA 16403
(41.798439, -80.056353)"
Greene (GRN),State Correctional Institution,Greene,FY 2016-2017,02/28/2017,1707,"169 Progress Drive
Waynesburg, PA 15370
(39.904711, -80.13849)"
Forest (FRS),State Correctional Institution,Forest,FY 2017-2018,05/31/2018,2391,"286 Woodland Drive
Marienville, PA 16239
(41.480965, -79.098215)"
In County Jails,County Jails,N/A,FY 2018-2019,10/31/2018,333,"N/A
N/A, N/A N/A"
Cambridge Springs (CBS),State Correctional Institution,Crawford,FY 2017-2018,01/31/2018,1216,"451 Fullerton Avenue
Cambridge Springs, PA 16403
(41.798439, -80.056353)"
Somerset (SMR),State Correctional Institution,Somerset,FY 2015-2016,06/30/2016,2393,"1590 Walters Mill Road
Somerset, PA 15510
(39.962928, -79.036824)"
Huntingdon (HUN),State Correctional Institution,Huntingdon,FY 2015-2016,10/31/2015,2156,"1100 Pike Street
Huntingdon, PA 16654
(40.491446, -78.027713)"
Benner Township (BEN),State Correctional Institution,Centre,FY 2015-2016,06/30/2016,2055,"Rockview Road
Benner, PA 16823
(40.85929, -77.778322)"
Community Contract Facility - Western,Community Contract Facility,N/A,FY 2015-2016,05/31/2016,217,"N/A
N/A, N/A N/A"
Muncy (MUN),State Correctional Institution,Lycoming,FY 2017-2018,04/30/2018,1493,"Box 180 Route 405
Muncy, PA 17756
(41.20239, -76.824645)"
Community Corrections Center - Western,Community Corrections Center,N/A,FY 2015-2016,06/30/2016,155,"N/A
N/A, N/A N/A"
Huntingdon (HUN),State Correctional Institution,Huntingdon,FY 2016-2017,03/31/2017,2158,"1100 Pike Street
Huntingdon, PA 16654
(40.491446, -78.027713)"
In County Jails,County Jails,N/A,FY 2015-2016,03/31/2016,586,"N/A
N/A, N/A N/A"
Community Contract Facility - Eastern,Community Contract Facility,N/A,FY 2017-2018,11/30/2017,84,"N/A
N/A, N/A N/A"
Benner Township (BEN),State Correctional Institution,Centre,FY 2017-2018,05/31/2018,2083,"Rockview Road
Benner, PA 16823
(40.85929, -77.778322)"
Dallas (DAL),State Correctional Institution,Luzerne,FY 2016-2017,02/28/2017,2109,"1000 Follies Road
Dallas, PA 18612
(41.272823, -76.011614)"
In County Jails,County Jails,N/A,FY 2016-2017,08/31/2016,584,"N/A
N/A, N/A N/A"
Quehanna Boot Camp (QUE),State Correctional Institution,Clearfield,FY 2017-2018,01/31/2018,451,"4395 Quehanna Hwy
Karthaus, PA 16845
(41.185194, -78.145537)"
Dallas (DAL),State Correctional Institution,Luzerne,FY 2016-2017,04/30/2017,2128,"1000 Follies Road
Dallas, PA 18612
(41.272823, -76.011614)"
Pine Grove (PNG),State Correctional Institution,Indiana,FY 2015-2016,04/30/2016,899,"189 Fyock Road
Indiana, PA 15701
(40.647782, -79.102858)"
Community Corrections Center - Central,Community Corrections Center,N/A,FY 2016-2017,01/31/2017,78,"N/A
N/A, N/A N/A"
Community Corrections Center - Western,Community Corrections Center,N/A,FY 2017-2018,01/31/2018,126,"N/A
N/A, N/A N/A"
Community Corrections Center - Eastern,Community Corrections Center,N/A,FY 2015-2016,02/29/2016,133,"N/A
N/A, N/A N/A"
Mahanoy (MAH),State Correctional Institution,Schuylkill,FY 2016-2017,01/31/2017,2406,"301 Morea Road
Frackville, PA 17932
(40.792482, -76.180808)"
Community Corrections Center - Eastern,Community Corrections Center,N/A,FY 2017-2018,11/30/2017,74,"N/A
N/A, N/A N/A"
Community Corrections Center - Central,Community Corrections Center,N/A,FY 2018-2019,11/30/2018,214,"N/A
N/A, N/A N/A"
Chester (CHS),State Correctional Institution,Delaware,FY 2016-2017,07/31/2016,1273,"500 E. 4th Street
Chester, PA 19013
(39.851157, -75.35134)"
Somerset (SMR),State Correctional Institution,Somerset,FY 2017-2018,07/31/2017,2363,"1590 Walters Mill Road
Somerset, PA 15510
(39.962928, -79.036824)"
Dallas (DAL),State Correctional Institution,Luzerne,FY 2016-2017,09/30/2016,2119,"1000 Follies Road
Dallas, PA 18612
(41.272823, -76.011614)"
Chester (CHS),State Correctional Institution,Delaware,FY 2016-2017,01/31/2017,1258,"500 E. 4th Street
Chester, PA 19013
(39.851157, -75.35134)"
Laurel Highlands (LAU),State Correctional Institution,Somerset,FY 2015-2016,02/29/2016,1518,"5706 Glades Pike
Somerset, PA 15501
(40.003555, -79.042639)"
Pittsburgh (PIT),State Correctional Institution,Allegheny,FY 2015-2016,07/31/2015,1763,"3001 Beaver Avenue
Pittsburgh, PA 15233
(40.470253, -80.040614)"
Pine Grove (PNG),State Correctional Institution,Indiana,FY 2017-2018,04/30/2018,1091,"189 Fyock Road
Indiana, PA 15701
(40.647782, -79.102858)"
Somerset (SMR),State Correctional Institution,Somerset,FY 2017-2018,12/31/2017,2398,"1590 Walters Mill Road
Somerset, PA 15510
(39.962928, -79.036824)"
Rockview (ROC),State Correctional Institution,Centre,FY 2018-2019,07/31/2018,2380,"1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
Community Corrections Center - Central,Community Corrections Center,N/A,FY 2017-2018,12/31/2017,200,"N/A
N/A, N/A N/A"
Somerset (SMR),State Correctional Institution,Somerset,FY 2017-2018,06/30/2018,2382,"1590 Walters Mill Road
Somerset, PA 15510
(39.962928, -79.036824)"
Pine Grove (PNG),State Correctional Institution,Indiana,FY 2015-2016,09/30/2015,1030,"189 Fyock Road
Indiana, PA 15701
(40.647782, -79.102858)"
Smithfield (SMI),State Correctional Institution,Huntingdon,FY 2016-2017,07/31/2016,1332,"1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
Rockview (ROC),State Correctional Institution,Centre,FY 2016-2017,10/31/2016,2383,"1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
Forest (FRS),State Correctional Institution,Forest,FY 2016-2017,09/30/2016,2373,"286 Woodland Drive
Marienville, PA 16239
(41.480965, -79.098215)"
In Federal Prisons,Federal Prisons,N/A,FY 2016-2017,11/30/2016,8,"N/A
N/A, N/A N/A"
Benner Township (BEN),State Correctional Institution,Centre,FY 2017-2018,06/30/2018,2066,"Rockview Road
Benner, PA 16823
(40.85929, -77.778322)"
Mercer (MER),State Correctional Institution,Mercer,FY 2015-2016,04/30/2016,1459,"801 Butler Pike
Mercer, PA 16137
(41.201825, -80.224013)"
In Federal Prisons,Federal Prisons,N/A,FY 2018-2019,09/30/2018,8,"N/A
N/A, N/A N/A"
Forest (FRS),State Correctional Institution,Forest,FY 2018-2019,10/31/2018,2394,"286 Woodland Drive
Marienville, PA 16239
(41.480965, -79.098215)"
Muncy (MUN),State Correctional Institution,Lycoming,FY 2017-2018,09/30/2017,1386,"Box 180 Route 405
Muncy, PA 17756
(41.20239, -76.824645)"
Mahanoy (MAH),State Correctional Institution,Schuylkill,FY 2015-2016,02/29/2016,2460,"301 Morea Road
Frackville, PA 17932
(40.792482, -76.180808)"
Pine Grove (PNG),State Correctional Institution,Indiana,FY 2017-2018,10/31/2017,1101,"189 Fyock Road
Indiana, PA 15701
(40.647782, -79.102858)"
Mercer (MER),State Correctional Institution,Mercer,FY 2015-2016,09/30/2015,1422,"801 Butler Pike
Mercer, PA 16137
(41.201825, -80.224013)"
Muncy (MUN),State Correctional Institution,Lycoming,FY 2015-2016,03/31/2016,1386,"Box 180 Route 405
Muncy, PA 17756
(41.20239, -76.824645)"
Benner Township (BEN),State Correctional Institution,Centre,FY 2014-2015,06/30/2015,2087,"Rockview Road
Benner, PA 16823
(40.85929, -77.778322)"
Smithfield (SMI),State Correctional Institution,Huntingdon,FY 2017-2018,07/31/2017,1345,"1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
Pittsburgh (PIT),State Correctional Institution,Allegheny,FY 2015-2016,06/30/2016,1883,"3001 Beaver Avenue
Pittsburgh, PA 15233
(40.470253, -80.040614)"
Waymart (WAM),State Correctional Institution,Wayne,FY 2016-2017,05/31/2017,1391,"P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
Albion (ALB),State Correctional Institution,Erie,FY 2017-2018,11/30/2017,2287,"10745 Route 18
Albion, PA 16475
(41.877428, -80.362796)"
Retreat (RET),State Correctional Institution,Luzerne,FY 2015-2016,12/31/2015,1129,"660 State Route 11
Hunlock Creek, PA 18621
(41.187536, -76.081427)"
Waymart (WAM),State Correctional Institution,Wayne,FY 2017-2018,12/31/2017,1562,"P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
In County Jails,County Jails,N/A,FY 2018-2019,01/31/2019,372,"N/A
N/A, N/A N/A"
Camp Hill (CAM),State Correctional Institution,Cumberland,FY 2017-2018,11/30/2017,3484,"P.O. Box 8837, 2500 Lisburn Road
Camp Hill, PA 17001
(40.217356, -76.925883)"
Houtzdale (HOU),State Correctional Institution,Clearfield,FY 2015-2016,04/30/2016,2533,"209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
Houtzdale (HOU),State Correctional Institution,Clearfield,FY 2016-2017,08/31/2016,2504,"209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
Coal Township (COA),State Correctional Institution,Northumberland,FY 2015-2016,11/30/2015,2298,"1 Kelley Drive
Coal Township, PA 17866
(40.805948, -76.552047)"
Forest (FRS),State Correctional Institution,Forest,FY 2017-2018,10/31/2017,2400,"286 Woodland Drive
Marienville, PA 16239
(41.480965, -79.098215)"
Community Contract Facility - Eastern,Community Contract Facility,N/A,FY 2018-2019,11/30/2018,162,"N/A
N/A, N/A N/A"
Rockview (ROC),State Correctional Institution,Centre,FY 2015-2016,03/31/2016,2391,"1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
Chester (CHS),State Correctional Institution,Delaware,FY 2015-2016,12/31/2015,1216,"500 E. 4th Street
Chester, PA 19013
(39.851157, -75.35134)"
Laurel Highlands (LAU),State Correctional Institution,Somerset,FY 2018-2019,07/31/2018,1564,"5706 Glades Pike
Somerset, PA 15501
(40.003555, -79.042639)"
